course_id,course_title,url,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject
19603,Learning Dynamic Website Design - PHP MySQL and JavaScript,https://www.udemy.com/learning-dynamic-website-design/,TRUE,50,47886,285,125,All Levels,12.5,2012-06-18T16:52:34Z,Web Development
889438,ChatBots Messenger ChatBot with APIAI and NodeJS,https://www.udemy.com/chatbots/,TRUE,50,2577,529,64,All Levels,4.5,2016-06-30T16:57:08Z,Web Development
197836,Projects in HTML5,https://www.udemy.com/projects-in-html5/,TRUE,60,8777,206,75,Intermediate Level,15.5,2014-06-17T05:43:50Z,Web Development
505208,Programming Foundations HTML5 + CSS3 for Entrepreneurs 2015,https://www.udemy.com/html-css-more/,TRUE,20,23764,490,58,Beginner Level,5.5,2015-10-17T04:52:25Z,Web Development
1086834,How To Make A Wordpress Website 2017  Divi Theme Tutorial,https://www.udemy.com/how-to-make-a-wordpress-website-2017-divi-theme-tutorial/,TRUE,40,3541,202,37,Beginner Level,4,2017-01-26T22:15:02Z,Web Development
1094964,Build Your Own Backend REST API using Django REST Framework,https://www.udemy.com/django-python/,TRUE,50,2669,112,72,Intermediate Level,5.5,2017-04-27T19:21:11Z,Web Development
965870,Angular and Firebase - Build a Web App with Typescript,https://www.udemy.com/angular-firebase-application/,TRUE,150,1966,359,65,All Levels,5,2016-09-27T21:46:03Z,Web Development
965528,Web Development Masterclass - Complete Certificate Course,https://www.udemy.com/web-development-masterclass-complete-certificate-course/,TRUE,200,4090,178,348,All Levels,19.5,2016-10-12T03:14:13Z,Web Development
1078208,Spring Boot Tutorial For Beginners,https://www.udemy.com/spring-boot-tutorial-for-beginners/,TRUE,40,2578,210,39,Beginner Level,5.5,2017-01-23T15:13:53Z,Web Development
642410,The Complete Bootstrap Masterclass Course - Build 4 Projects,https://www.udemy.com/bootstrapcourse/,TRUE,195,24978,540,67,All Levels,7,2015-10-27T20:27:11Z,Web Development
